t,Z_mpmath,kind,gap,norm_gap
10000000010054.9394531250,7.406340068707e-03,max,,
10000000010055.2363281250,1.861026625916e-02,max,,
10000000010171.3496093750,6.780739497448e-03,max,,
10000000010245.5410156250,-9.888571540629e-03,min,,
10000000010265.7109375000,-6.266037922870e-03,min,,
10000000010300.2246093750,-1.944318114119e-02,min,,
10000000010329.4375000000,9.235246399820e-03,max,,
10000000010352.1562500000,-6.978274807194e-03,min,,
10000000010402.3242187500,1.928023334313e-02,max,,
10000000010491.5722656250,-9.849995848943e-03,min,,
10000000010575.3574218750,1.487375911095e-02,max,,
10000000010680.2988281250,-1.960697573075e-03,min,1.03619713e-02,0.046334
10000000010700.8730468750,-1.915180899146e-02,min,,
10000000010706.9179687500,1.922046794649e-02,max,,
10000000010719.9667968750,-1.730678369832e-02,min,,
10000000010746.4296875000,-1.101327069332e-02,min,,
10000000010769.4277343750,-1.870643814825e-02,min,,
10000000010808.5058593750,1.187958336793e-02,max,,
10000000010890.5820312500,-7.216287618239e-03,min,,
10000000010924.3964843750,1.870710816701e-02,max,,
10000000010953.3125000000,8.431519450723e-03,max,,
10000000011015.4003906250,-1.654434731055e-02,min,,
10000000011039.8007812500,1.524881642679e-02,max,,
10000000011117.4062500000,-8.075058917318e-03,min,,
10000000011152.7871093750,6.919694398489e-03,max,,
10000000011158.9140625000,6.262623500254e-03,max,,
10000000011272.9257812500,-1.236623143562e-02,min,,
10000000011405.2539062500,1.354545939901e-02,max,,
10000000011434.0644531250,-2.927176936068e-03,min,,
10000000011460.4277343750,-1.806358436527e-02,min,,
10000000011485.4589843750,-1.528939330816e-02,min,,
10000000011549.6562500000,1.769899785584e-02,max,,
10000000011575.8789062500,-2.263418201738e-03,min,,
10000000011678.4765625000,8.078761313727e-03,max,,
10000000011769.2578125000,2.065616882570e-03,max,9.58035401e-03,0.042839
10000000011878.9941406250,-7.288036454668e-03,min,,
10000000011914.5703125000,1.176939966457e-02,max,,
10000000011995.5078125000,1.846633199384e-02,max,,
10000000012051.3574218750,4.690282479152e-03,max,,
10000000012066.6601562500,1.805415433438e-02,max,,
10000000012084.9570312500,-1.883887782060e-02,min,,
10000000012166.0957031250,8.474766721184e-03,max,,
10000000012257.4238281250,-1.422109033770e-02,min,,
10000000012393.3203125000,1.917446182235e-02,max,,
10000000012538.1523437500,9.671942809167e-03,max,,
10000000012663.6953125000,-1.156817870689e-02,min,,
10000000012674.0800781250,1.911499428149e-02,max,,
10000000012744.6621093750,-4.934833530224e-03,min,,
10000000012795.7109375000,1.678088785948e-02,max,,
10000000012893.8906250000,-1.377138583918e-02,min,,
10000000012955.1640625000,-1.185593246020e-02,min,,
10000000013046.2050781250,1.876093771027e-02,max,,
10000000013115.2187500000,3.240685389655e-03,max,,
10000000013182.9980468750,1.289178663391e-02,max,,
10000000013188.4824218750,4.050657118781e-03,max,,
10000000013245.3496093750,4.935504429451e-03,max,,
10000000013326.3828125000,-1.297206925639e-02,min,,
10000000013344.9628906250,1.013891337294e-02,max,,
10000000013362.4296875000,1.220945580925e-02,max,,
10000000013365.9394531250,1.181360897679e-02,max,,
10000000013491.7207031250,1.361186541579e-02,max,,
10000000013599.9355468750,9.887828851705e-03,max,,
10000000013868.5019531250,1.280529389709e-02,max,,
10000000013916.5585937500,1.576893665497e-02,max,,
10000000013955.2890625000,-8.423676266612e-03,min,,
10000000014018.9726562500,1.369917132572e-02,max,,
10000000014096.9453125000,1.631909611616e-02,max,,
10000000014142.6777343750,-1.305125174532e-02,min,,
10000000014169.6621093750,2.496478363882e-03,max,,
10000000014172.7519531250,-1.059255756346e-02,min,,
10000000014215.1386718750,-1.471934059200e-02,min,,
10000000014275.5410156250,-1.093277271978e-02,min,,
10000000014550.2148437500,-1.154875358611e-02,min,,
10000000014630.4277343750,1.864517524852e-02,max,,
10000000014665.5839843750,-8.892793157533e-03,min,,
10000000014704.1074218750,-1.044818040704e-02,min,,
10000000014744.2050781250,-1.582611633565e-02,min,,
10000000014774.0410156250,1.115455388319e-02,max,,
10000000014838.0371093750,9.872835581400e-04,max,7.80669572e-03,0.034908
10000000014848.5625000000,-1.623493712042e-02,min,,
10000000014867.7500000000,-8.036974894124e-03,min,,
10000000015111.3183593750,5.876140282587e-03,max,,
10000000015111.3808593750,-1.053034517343e-02,min,,
10000000015120.9609375000,-1.701122899150e-02,min,,
10000000015294.8281250000,-1.137736801045e-02,min,,
10000000015305.2402343750,-4.536389343177e-03,min,,
10000000015529.6757812500,-1.517314329300e-02,min,,
10000000015532.2617187500,-6.401690401136e-03,min,,
10000000015676.6621093750,1.491726376393e-02,max,,
10000000015785.2851562500,1.295014203420e-02,max,,
10000000015929.0585937500,-1.855988013194e-02,min,,
10000000015938.8789062500,-7.612875264422e-03,min,,
10000000016020.7128906250,-1.836913066069e-02,min,,
10000000016066.9726562500,1.427077201840e-02,max,,
10000000016163.9804687500,-1.860804841942e-02,min,,
10000000016289.6523437500,-1.126172598563e-02,min,,
10000000016597.5566406250,1.013011171331e-02,max,,
10000000016625.9199218750,-4.586238444900e-03,min,,
10000000016672.1308593750,1.293232622478e-02,max,,
10000000016707.4296875000,-1.418277455515e-02,min,,
10000000016828.6250000000,8.463719024271e-04,max,4.64678380e-03,0.020778
10000000016936.2558593750,-5.391121119445e-03,min,,
10000000017092.0605468750,1.454590748101e-02,max,,
10000000017100.6386718750,1.790612884297e-02,max,,
10000000017422.2929687500,1.465412739770e-02,max,,
10000000017521.1269531250,6.613679512063e-03,max,,
10000000017523.4941406250,1.120457751314e-02,max,,
10000000017526.3359375000,-9.799293462148e-03,min,,
10000000017557.7714843750,-5.604374009118e-03,min,,
10000000017587.5742187500,-1.171755395608e-02,min,,
10000000017639.6425781250,1.969377519368e-02,max,,
10000000017695.1933593750,1.691865497309e-02,max,,
10000000017752.4042968750,1.934154405811e-02,max,,
